ta_id	alamat_ta	lat	lng	telepon
2706539	Fairgrounds, Sudirman Central Business District Lot 14 Jenderal Sudirman Kav 52 – 53 Jakar	-6.226944	106.80806	+62215152309
6159132	Jl. RS. Fatmawati,Jakarta Selatan Komplek Golden Plaza Blok H3-8, Jakarta, 12420	-6.27961	106.79673	+622175914687
7256883	Jl. Falatehan I no. 32 Blok M, Jakarta	-6.24182	106.80065	+62217395436
7312840	Jakarta
7812626	Jl. Kemang 1 No. 12F, Jakarta, 12150	-6.257705	106.813126	+62811-1004-560
7980723	Jln. Raya Mangga Besar no. 81, Jakarta, 11180	-6.145773	106.82048	+62216265233
10596133	Jl. Asia Afrika Plaza Senayan Floors 4-5, Jakarta, 10270	-6.22884	106.79827	+62215725560
10795022	Jl. Kemang Raya no. 20A Kemang Arcade Building 3rd floor, Jakarta	-6.25953	106.81512	+62856-9574-664
11910832	Jl. Pluit Selatan I no. 1 Aston Pluit, Jakarta, 14450	-6.12564	106.78484
12049469	Jl. Bandenga Selatan Golden Hands Hotel, Jakarta, 14450	-6.2492	106.86629	+622166674670
12082345	Jl. M.H. Thamrin Mandarin Oriental Hotel, Jakarta, 10310	-6.195961	106.82364	+622129938827
12216005	16 Palatehan Street 1 Blok M Melawai, Jakarta, 12160	-6.24191	106.8011	+62217396510
12640010	Jl. Kartini Raya No.57 Ruko Grand Kartini No.16-17, Jakarta	-6.15097	106.83453	+622162300660
12721281	Jl. Senopati Raya no 8 WeWork - Revenue Tower, Jakarta, 12190	-6.23097	106.80904	+62811-9941-964
12962505	Jl. Haji R. Rasuna Said Aston Rasuna, Jakarta	-6.16372	106.8547
13172722	Jl. Pegangsaan Timur no. 17 Doubletree by Hilton, Jakarta, 10310	-6.199388	106.842255
13172723	Jl. Pegangsaan Timur no. 17 DoubleTree by Hilton Hotel, Jakarta, 10310	-6.199388	106.842255
13412708	Jl. Melawai Raya no. 83- 85 Amos Cozy Hotel, Jakarta, 12160	-6.24571	106.79899
14097676	Jl. Jend Sudirman Kav.50 Plaza Semanggi Lt. 6, Jakarta, 12930	-6.22284	106.80868	+622125539378
15029010	Jl. MH Thamrin no. 59 Pullman Jakarta Indonesia, Jakarta, 10350	-6.19916	106.8229	+622131921111
15839393	Jalan-in dulu aja, Jakarta, 10220	-6.20396	106.82007	+62856-8020-714
17579254	Jl Gajah Mada, Taman Sari, west jakarta, Jakarta, 11140	-6.15475	106.81763
17802476	Jl. Banjarsari X No.4A, RT.8/RW.8, Cilandak Barat, Cilandak, South Jakarta, DKI Jakarta	-6.29006	106.79317	+62821-2222-3504
19921351	Jalan Diponegoro No. 45, Menteng, Jakarta, 10310
20274116	Jl. Pangeran Antasari No.10A Cipete Utara, Jakarta, 12150	-6.27493	106.80888	+62818-697-749
20995199	14 Gynėjų gatvė, Vilnius 01109, Vilniaus apskritis, LT, Jakarta, 09215			+37065216600
23280548	Jl. Gunawarman No. 41 Rawa Barat, Kebayoran Baru, Jakarta, 12180	-6.235851	106.80783	+62877-2347-0909
23332050	Jakarta Pusat, Jakarta, 12071	-6.180511	106.828384	+62838-2162-1165
23847858	Area Gd. City Plaza 10th Floor , Suite 1001-1002, Jakarta, 12710	-6.235808	106.82328	+622130030010
23932747	Jalan Elang Laut Boulevard Blok D15-17, Jakarta, 14470	-6.126443	106.74941	+62812-9697-3434
24190339	St. Benda Bawah No.77 East Cilandak, South Jakarta, Jakarta	-6.279054	106.81283	+62812-5888-3884
25194330	Jl. Permata Hijau The Bellezza Office Tower Daerah Khusus, Jakarta, 12210	-6.222475	106.785324	+62813-1646-0007
25266195	Jl. Kunir No.7, Rw.7, Pinangsia, Kec. Taman Sari, Jakarta, 11110	-6.133289	106.81319	+62216909999
25267761	Ground, Graha Bip, Jl. Gatot Subroto No.kav. 23, Jakarta, 12930	-6.229424	106.820465	+62215206789
25297086	Hotel Bidakara Pancoran Jakarta Lotus Lounge 1st Floor, Jakarta, 12780	-6.240152	106.84186	+62813-8818-1519
25444430	Jalan Jenderal Sudirman, Kavling 52-53, Jakarta			+62811-1906-7167
26101135	Jl. Kapten Tendean No.8, RT.1, Kec. Mampang Prpt., Kota Jakarta Selatan	-6.240014	106.82384	+62895-3851-45145
26258989	Jalan TB Simatupang No. 30 RT.2/RW.9, Ra Suites Simatupang, Jakarta, 12430			+62817-6888-363
26322140	RT.1/RW.3, Ancol, Pademangan, North Jakarta City	-6.121829	106.81636	+62878-4044-4613
26609576	Epicentrum Tengah 3, Jl HR Rasuna Said Karet Kuningan, Setiabudi Jakarta Selatan			+62812-9913-4442
26616033	Jalan TB Simatupang No 3, Jakarta, 12430			+62817-6888-363
26686214	Jalan medang raya no 65 tangerang, Jakarta, 62
26706375	Jl Prof Dr Satrio Kav E 1.3 Kel Karet Kuningan One satrio unit E1 CBD Mega kuningan	-6.226398	106.82641	+62852-8205-2267
26773340	Pantai Indah Kapuk Boulevard PIK Avenue, Kamal Muara, Jakarta, 14470			+622122571188
26821677	Taman Fatahillah, Jakarta, 11110
27138489	Jl. Prof. DR Satrio One Satrio, Jakarta, 12950	-6.22542	106.826096	+62811-1591-819
27168614	Jl. Falatehan I Jl. Iskandarsyah Raya No.8, RT.	-6.241844	106.80151	+62812-7656-3101
27954705	Elysee Scbd Level 3a Lot 21, Jl. Scbd No.kav 52-53, Kota Jakarta Selatan	-6.21462	106.84513	+62822-1002-0088
27966646	Jl. Rs. Fatmawati Raya No.38f, Rt.7/rw.5, Cipete Utara, Kec. Kby. Baru, Jakarta Selatan	-6.287423	106.79552	+62877-3532-0402
28049755	Green Garden Blok p3 No 2, Jakarta, 11250			+62877-8062-0362
28123847	Jalan Pantai Indah Kapuk, Jakarta	-6.1164	106.8048
28650788	Jl H No 19 Rt Rw 004 009 Kebon Baru Tebet Jakarta Selatan, Jakarta, 12830			+62821-2341-8957
31936914	Jl. Jend. Sudirman Kav 52-53 No Lot 14, Senayan, Jakarta, 12190	-6.226396	106.80715	+62811-1651-200
32237701	Jl. Jend. Sudirman Kav 52-53 No.28 Rt.8/rw.3, Jakarta, 12190	-6.194449	106.82292	+62878-7802-3000
